feature,mean,min,max,median,std
repeated_punctuation0,0.00971256670846,0.0,0.846153846154,0.0,0.0229025878471
leetspeak0,5.02355823882e-06,0.0,0.05,0.0,0.000349448657298
rebus0,9.95730187389e-05,0.0,0.09375,0.0,0.00160771444735
capitalization0,0.0104623610851,0.0,0.583333333333,0.0,0.0422469377381
single_letters0,0.00191197193969,0.0,0.185430463576,0.0,0.00844519282892
clippings0,0.0100236592286,0.0,0.25,0.0,0.0166727655804
acronyms0,0.00700750318474,0.0,0.612903225806,0.0,0.0135776213642
emoticons0,0.000963071910678,0.0,0.207373271889,0.0,0.00444313022389
prosody0,0.000251759751901,0.0,0.125,0.0,0.00216605282621
