feature,mean,min,max,median,std
repeated_punctuation0,9712.566708,0,0.846153846,0,22902.58785
leetspeak0,5.02E+00,0,0.05,0,349.4486573
rebus0,9.96E+01,0,0.09375,0,1607.714447
capitalization0,10462.36109,0,0.583333333,0,42246.93774
single_letters0,1911.97194,0,0.185430464,0,8445.192829
clippings0,10023.65923,0,0.25,0,16672.76558
acronyms0,7007.503185,0,0.612903226,0,13577.62136
emoticons0,963.0719107,0,0.207373272,0,4443.130224
prosody0,251.7597519,0,0.125,0,2166.052826
