feature,mean,min,max,median,std
repeated_punctuation0,1013360.441,0,152,0,2726052.78
leetspeak0,396.9406525,0,3,0,22217.0629
rebus0,12547.19721,0,13,0,156930.4143
capitalization0,1078991.19,0,320,0,4876414.884
single_letters0,159299.0609,0,28,0,736756.7225
clippings0,808277.6648,0,28,0,1170590.014
acronyms0,618123.7293,0,86,0,1067810.612
emoticons0,98112.11153,0,45,0,420591.7193
prosody0,31648.75593,0,35,0,244833.1445
